,sex_F,sex_M,time_launch,time_dinner,time_late night snack,feeling_plearsure / joy,feeling_sadness / depressed,feeling_annoying,weather_sunny,weather_cloudy / rain,weather_etc,taste
245,0,1,0,1,0,0,0,1,0,1,0,spicy
49,1,0,0,1,0,1,0,0,0,1,0,savory
27,1,0,0,0,1,1,0,0,1,0,0,savory
4,1,0,0,1,0,0,0,1,0,1,0,savory
29,0,1,0,1,0,0,0,1,1,0,0,savory
56,0,1,0,0,1,0,1,0,1,0,0,sweet
293,1,0,1,0,0,0,0,1,0,1,0,spicy
36,1,0,0,1,0,1,0,0,1,0,0,sweet
364,1,0,1,0,0,0,1,0,1,0,0,spicy
110,1,0,0,0,1,1,0,0,0,1,0,spicy
273,1,0,0,1,0,0,1,0,0,0,1,savory
308,0,1,0,1,0,1,0,0,0,1,0,savory
257,1,0,0,0,1,1,0,0,0,1,0,savory
46,0,1,1,0,0,0,0,1,1,0,0,savory
28,1,0,0,1,0,1,0,0,0,1,0,spicy
11,0,1,1,0,0,0,1,0,0,1,0,sweet
357,1,0,0,1,0,0,0,1,1,0,0,savory
336,1,0,0,1,0,0,1,0,1,0,0,sweet
288,1,0,1,0,0,1,0,0,0,1,0,spicy
343,1,0,1,0,0,1,0,0,1,0,0,sweet
286,0,1,0,1,0,1,0,0,0,1,0,spicy
107,0,1,1,0,0,0,0,1,1,0,0,savory
120,1,0,0,0,1,1,0,0,1,0,0,sweet
251,1,0,0,1,0,0,0,1,0,0,1,spicy
119,1,0,0,1,0,1,0,0,1,0,0,spicy
63,0,1,0,1,0,1,0,0,1,0,0,spicy
165,1,0,1,0,0,1,0,0,1,0,0,savory
258,1,0,1,0,0,0,0,1,1,0,0,savory
246,1,0,1,0,0,0,0,1,0,0,1,sweet
338,0,1,1,0,0,1,0,0,1,0,0,spicy
158,0,1,0,0,1,0,1,0,1,0,0,savory
351,0,1,0,0,1,1,0,0,0,1,0,spicy
356,0,1,0,1,0,0,0,1,1,0,0,spicy
77,0,1,1,0,0,0,1,0,0,1,0,savory
237,1,0,0,0,1,0,0,1,0,1,0,spicy
177,0,1,1,0,0,0,0,1,1,0,0,savory
156,0,1,1,0,0,0,0,1,1,0,0,savory
264,0,1,1,0,0,0,0,1,0,0,1,savory
281,1,0,1,0,0,1,0,0,1,0,0,savory
346,1,0,1,0,0,0,1,0,1,0,0,spicy
2,0,1,1,0,0,1,0,0,0,0,1,savory
171,0,1,1,0,0,0,0,1,0,1,0,savory
139,1,0,1,0,0,1,0,0,1,0,0,savory
102,0,1,1,0,0,1,0,0,0,0,1,spicy
148,1,0,0,1,0,0,0,1,0,0,1,savory
109,1,0,1,0,0,0,0,1,1,0,0,spicy
13,1,0,0,1,0,0,1,0,0,1,0,sweet
250,0,1,1,0,0,0,0,1,1,0,0,savory
310,1,0,0,0,1,1,0,0,0,1,0,savory
26,0,1,1,0,0,1,0,0,1,0,0,savory
3,1,0,1,0,0,0,0,1,0,1,0,sweet
9,1,0,0,1,0,0,1,0,1,0,0,spicy
271,1,0,1,0,0,1,0,0,1,0,0,sweet
238,1,0,0,0,1,1,0,0,1,0,0,savory
322,0,1,0,1,0,1,0,0,1,0,0,sweet
178,1,0,1,0,0,0,0,1,0,1,0,sweet
348,0,1,0,1,0,1,0,0,1,0,0,savory
221,0,1,0,0,1,0,1,0,0,1,0,savory
371,1,0,0,1,0,1,0,0,0,1,0,spicy
21,0,1,0,0,1,1,0,0,0,0,1,sweet
58,1,0,1,0,0,0,0,1,1,0,0,spicy
108,0,1,1,0,0,0,1,0,1,0,0,savory
304,1,0,0,1,0,1,0,0,1,0,0,spicy
315,1,0,0,1,0,1,0,0,1,0,0,spicy
198,1,0,1,0,0,0,1,0,0,0,1,spicy
210,1,0,0,1,0,0,0,1,0,0,1,sweet
48,1,0,0,0,1,1,0,0,1,0,0,sweet
30,1,0,0,1,0,1,0,0,1,0,0,savory
32,0,1,1,0,0,1,0,0,1,0,0,savory
297,0,1,1,0,0,0,0,1,1,0,0,savory
51,0,1,1,0,0,0,1,0,1,0,0,savory
195,0,1,1,0,0,1,0,0,1,0,0,savory
233,1,0,1,0,0,1,0,0,1,0,0,spicy
235,1,0,0,1,0,1,0,0,1,0,0,spicy
184,0,1,0,1,0,0,0,1,1,0,0,sweet
374,0,1,0,0,1,1,0,0,1,0,0,spicy
8,1,0,0,0,1,1,0,0,1,0,0,savory
159,0,1,1,0,0,0,0,1,0,0,1,spicy
