,age_10대,age_20대,age_30대,age_40대,age_50대 이상,sex_F,sex_M,time_launch,time_dinner,time_dinner,taste
245,0,0,0,1,0,0,1,0,1,1,spicy
49,0,1,0,0,0,1,0,0,1,1,savory
27,0,0,0,0,1,1,0,0,0,0,savory
4,0,0,1,0,0,1,0,0,1,1,savory
29,0,0,0,1,0,0,1,0,1,1,savory
56,0,1,0,0,0,0,1,0,0,0,sweet
293,1,0,0,0,0,1,0,1,0,0,spicy
36,0,1,0,0,0,1,0,0,1,1,sweet
364,0,1,0,0,0,1,0,1,0,0,spicy
110,0,0,1,0,0,1,0,0,0,0,spicy
273,0,0,0,1,0,1,0,0,1,1,savory
308,0,0,0,1,0,0,1,0,1,1,savory
257,1,0,0,0,0,1,0,0,0,0,savory
46,0,0,0,0,1,0,1,1,0,0,savory
28,0,1,0,0,0,1,0,0,1,1,spicy
11,1,0,0,0,0,0,1,1,0,0,sweet
357,1,0,0,0,0,1,0,0,1,1,savory
336,0,0,1,0,0,1,0,0,1,1,sweet
288,0,0,1,0,0,1,0,1,0,0,spicy
343,1,0,0,0,0,1,0,1,0,0,sweet
286,0,1,0,0,0,0,1,0,1,1,spicy
107,1,0,0,0,0,0,1,1,0,0,savory
120,0,0,0,0,1,1,0,0,0,0,sweet
251,0,0,0,1,0,1,0,0,1,1,spicy
119,0,1,0,0,0,1,0,0,1,1,spicy
63,0,1,0,0,0,0,1,0,1,1,spicy
165,0,0,0,0,1,1,0,1,0,0,savory
258,0,0,0,1,0,1,0,1,0,0,savory
246,0,0,0,1,0,1,0,1,0,0,sweet
338,0,0,1,0,0,0,1,1,0,0,spicy
158,0,0,1,0,0,0,1,0,0,0,savory
351,1,0,0,0,0,0,1,0,0,0,spicy
356,1,0,0,0,0,0,1,0,1,1,spicy
77,0,0,1,0,0,0,1,1,0,0,savory
237,0,1,0,0,0,1,0,0,0,0,spicy
177,1,0,0,0,0,0,1,1,0,0,savory
156,0,0,0,0,1,0,1,1,0,0,savory
264,0,0,0,0,1,0,1,1,0,0,savory
281,0,0,0,0,1,1,0,1,0,0,savory
346,0,0,0,0,1,1,0,1,0,0,spicy
2,0,0,1,0,0,0,1,1,0,0,savory
171,0,0,0,1,0,0,1,1,0,0,savory
139,0,0,0,1,0,1,0,1,0,0,savory
102,0,0,0,1,0,0,1,1,0,0,spicy
