,time_launch,time_dinner,time_late night snack,feeling_plearsure / joy,feeling_sadness / depressed,feeling_annoying,weather_sunny,weather_cloudy / rain,weather_etc,taste
245,0,1,0,0,0,1,0,1,0,spicy
49,0,1,0,1,0,0,0,1,0,savory
27,0,0,1,1,0,0,1,0,0,savory
4,0,1,0,0,0,1,0,1,0,savory
29,0,1,0,0,0,1,1,0,0,savory
56,0,0,1,0,1,0,1,0,0,sweet
293,1,0,0,0,0,1,0,1,0,spicy
36,0,1,0,1,0,0,1,0,0,sweet
364,1,0,0,0,1,0,1,0,0,spicy
110,0,0,1,1,0,0,0,1,0,spicy
273,0,1,0,0,1,0,0,0,1,savory
308,0,1,0,1,0,0,0,1,0,savory
257,0,0,1,1,0,0,0,1,0,savory
46,1,0,0,0,0,1,1,0,0,savory
28,0,1,0,1,0,0,0,1,0,spicy
11,1,0,0,0,1,0,0,1,0,sweet
357,0,1,0,0,0,1,1,0,0,savory
336,0,1,0,0,1,0,1,0,0,sweet
288,1,0,0,1,0,0,0,1,0,spicy
343,1,0,0,1,0,0,1,0,0,sweet
286,0,1,0,1,0,0,0,1,0,spicy
107,1,0,0,0,0,1,1,0,0,savory
120,0,0,1,1,0,0,1,0,0,sweet
251,0,1,0,0,0,1,0,0,1,spicy
119,0,1,0,1,0,0,1,0,0,spicy
63,0,1,0,1,0,0,1,0,0,spicy
165,1,0,0,1,0,0,1,0,0,savory
258,1,0,0,0,0,1,1,0,0,savory
246,1,0,0,0,0,1,0,0,1,sweet
338,1,0,0,1,0,0,1,0,0,spicy
158,0,0,1,0,1,0,1,0,0,savory
351,0,0,1,1,0,0,0,1,0,spicy
356,0,1,0,0,0,1,1,0,0,spicy
77,1,0,0,0,1,0,0,1,0,savory
237,0,0,1,0,0,1,0,1,0,spicy
177,1,0,0,0,0,1,1,0,0,savory
156,1,0,0,0,0,1,1,0,0,savory
264,1,0,0,0,0,1,0,0,1,savory
281,1,0,0,1,0,0,1,0,0,savory
346,1,0,0,0,1,0,1,0,0,spicy
2,1,0,0,1,0,0,0,0,1,savory
171,1,0,0,0,0,1,0,1,0,savory
139,1,0,0,1,0,0,1,0,0,savory
102,1,0,0,1,0,0,0,0,1,spicy
148,0,1,0,0,0,1,0,0,1,savory
109,1,0,0,0,0,1,1,0,0,spicy
13,0,1,0,0,1,0,0,1,0,sweet
250,1,0,0,0,0,1,1,0,0,savory
310,0,0,1,1,0,0,0,1,0,savory
26,1,0,0,1,0,0,1,0,0,savory
3,1,0,0,0,0,1,0,1,0,sweet
9,0,1,0,0,1,0,1,0,0,spicy
271,1,0,0,1,0,0,1,0,0,sweet
238,0,0,1,1,0,0,1,0,0,savory
322,0,1,0,1,0,0,1,0,0,sweet
178,1,0,0,0,0,1,0,1,0,sweet
348,0,1,0,1,0,0,1,0,0,savory
221,0,0,1,0,1,0,0,1,0,savory
371,0,1,0,1,0,0,0,1,0,spicy
21,0,0,1,1,0,0,0,0,1,sweet
58,1,0,0,0,0,1,1,0,0,spicy
108,1,0,0,0,1,0,1,0,0,savory
304,0,1,0,1,0,0,1,0,0,spicy
315,0,1,0,1,0,0,1,0,0,spicy
198,1,0,0,0,1,0,0,0,1,spicy
210,0,1,0,0,0,1,0,0,1,sweet
48,0,0,1,1,0,0,1,0,0,sweet
30,0,1,0,1,0,0,1,0,0,savory
32,1,0,0,1,0,0,1,0,0,savory
297,1,0,0,0,0,1,1,0,0,savory
51,1,0,0,0,1,0,1,0,0,savory
195,1,0,0,1,0,0,1,0,0,savory
233,1,0,0,1,0,0,1,0,0,spicy
235,0,1,0,1,0,0,1,0,0,spicy
184,0,1,0,0,0,1,1,0,0,sweet
374,0,0,1,1,0,0,1,0,0,spicy
8,0,0,1,1,0,0,1,0,0,savory
159,1,0,0,0,0,1,0,0,1,spicy
236,0,0,1,0,0,1,0,0,1,spicy
155,1,0,0,1,0,0,0,1,0,savory
50,0,0,1,1,0,0,0,1,0,savory
269,0,1,0,0,1,0,0,1,0,savory
224,1,0,0,1,0,0,1,0,0,spicy
101,1,0,0,1,0,0,1,0,0,savory
37,1,0,0,0,0,1,1,0,0,spicy
282,0,1,0,0,0,1,0,0,1,spicy
206,0,0,1,1,0,0,1,0,0,spicy
103,1,0,0,1,0,0,1,0,0,savory
313,1,0,0,1,0,0,1,0,0,savory
341,1,0,0,1,0,0,1,0,0,savory
169,0,1,0,1,0,0,1,0,0,sweet
179,1,0,0,1,0,0,1,0,0,savory
1,1,0,0,1,0,0,1,0,0,savory
124,0,1,0,0,0,1,1,0,0,spicy
164,0,1,0,0,0,1,0,0,1,spicy
211,0,1,0,0,1,0,0,1,0,savory
185,0,1,0,1,0,0,1,0,0,savory
188,1,0,0,0,0,1,1,0,0,spicy
17,0,0,1,0,1,0,0,1,0,spicy
268,1,0,0,1,0,0,1,0,0,savory
197,1,0,0,1,0,0,1,0,0,sweet
122,0,0,1,0,0,1,1,0,0,sweet
113,0,0,1,0,1,0,1,0,0,spicy
174,1,0,0,1,0,0,1,0,0,spicy
324,0,1,0,1,0,0,1,0,0,spicy
166,0,0,1,0,1,0,1,0,0,spicy
123,0,1,0,1,0,0,1,0,0,savory
43,1,0,0,1,0,0,1,0,0,savory
68,1,0,0,1,0,0,1,0,0,savory
265,0,1,0,0,0,1,1,0,0,spicy
75,1,0,0,0,1,0,1,0,0,spicy
81,0,1,0,0,1,0,0,1,0,spicy
74,0,1,0,1,0,0,1,0,0,spicy
