,age_10대,age_20대,age_30대,age_40대,age_50대 이상,sex_F,sex_M,time_dinner,time_late night snack,time_launch,feeling_annoying,feeling_plearsure / joy,feeling_sadness / depressed,weather_cloudy / rain,weather_etc,weather_sunny
245,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0
49,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0
27,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1
4,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0
29,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1
56,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1
293,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0
36,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1
364,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1
110,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0
273,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0
308,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0
257,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0
46,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1
28,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0
11,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0
357,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1
336,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1
288,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0
343,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1
286,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0
107,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1
120,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1
251,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0
119,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1
63,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1
165,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1
258,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1
246,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
338,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1
158,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1
351,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0
356,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1
77,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0
237,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0
177,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1
156,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1
264,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0
281,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1
346,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1
2,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0
171,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0
139,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
102,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0
148,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0
109,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1
13,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0
250,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1
310,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0
26,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1
3,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0
9,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1
271,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1
238,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1
322,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1
178,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0
348,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1
221,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0
371,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0
21,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
58,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1
108,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
304,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1
315,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1
198,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0
210,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0
48,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
30,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1
32,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1
297,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1
51,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1
195,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1
233,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1
235,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1
184,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1
374,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1
8,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
159,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0
236,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0
155,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0
50,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0
