,taste
245,spicy
49,savory
27,savory
4,savory
29,savory
56,sweet
293,spicy
36,sweet
364,spicy
110,spicy
273,savory
308,savory
257,savory
46,savory
28,spicy
11,sweet
357,savory
336,sweet
288,spicy
343,sweet
286,spicy
107,savory
120,sweet
251,spicy
119,spicy
63,spicy
165,savory
258,savory
246,sweet
338,spicy
158,savory
351,spicy
356,spicy
77,savory
237,spicy
177,savory
156,savory
264,savory
281,savory
346,spicy
2,savory
171,savory
139,savory
102,spicy
148,savory
109,spicy
13,sweet
250,savory
310,savory
26,savory
3,sweet
9,spicy
271,sweet
238,savory
322,sweet
178,sweet
348,savory
221,savory
371,spicy
21,sweet
58,spicy
108,savory
304,spicy
315,spicy
198,spicy
210,sweet
48,sweet
30,savory
32,savory
297,savory
51,savory
195,savory
233,spicy
235,spicy
184,sweet
374,spicy
8,savory
159,spicy
236,spicy
155,savory
50,savory
269,savory
224,spicy
101,savory
37,spicy
282,spicy
206,spicy
103,savory
313,savory
341,savory
169,sweet
179,savory
1,savory
124,spicy
164,spicy
211,savory
185,savory
188,spicy
17,spicy
268,savory
197,sweet
122,sweet
113,spicy
174,spicy
324,spicy
166,spicy
123,savory
43,savory
68,savory
265,spicy
75,spicy
81,spicy
74,spicy
14,savory
126,sweet
129,savory
67,savory
212,spicy
196,spicy
278,savory
19,savory
328,spicy
360,savory
331,spicy
259,sweet
82,sweet
39,savory
241,savory
260,savory
33,sweet
143,sweet
157,savory
256,savory
363,savory
25,savory
299,sweet
276,spicy
35,sweet
20,savory
0,savory
142,savory
22,spicy
347,spicy
191,savory
362,savory
223,savory
204,spicy
105,savory
277,savory
154,spicy
60,spicy
275,savory
291,savory
330,savory
248,spicy
314,spicy
368,spicy
284,savory
180,savory
254,savory
342,savory
194,spicy
18,savory
311,spicy
133,spicy
316,savory
186,savory
78,savory
225,spicy
279,spicy
309,savory
111,spicy
168,savory
270,savory
138,spicy
355,savory
31,spicy
289,savory
88,savory
7,savory
71,savory
301,savory
183,savory
72,savory
192,savory
334,savory
209,spicy
92,savory
24,spicy
160,savory
247,spicy
96,sweet
213,sweet
295,spicy
244,savory
152,spicy
321,spicy
201,sweet
263,savory
187,savory
52,savory
243,savory
358,sweet
62,spicy
280,spicy
216,savory
220,spicy
294,spicy
61,spicy
208,savory
199,savory
69,savory
86,savory
200,sweet
94,spicy
134,spicy
190,spicy
55,sweet
283,savory
125,savory
45,savory
240,savory
340,savory
79,spicy
16,sweet
15,savory
373,spicy
255,spicy
319,sweet
121,spicy
332,sweet
170,sweet
64,sweet
41,savory
99,spicy
226,spicy
307,spicy
298,spicy
172,spicy
317,savory
229,sweet
112,spicy
80,sweet
370,spicy
146,spicy
274,savory
42,spicy
312,spicy
53,spicy
207,spicy
153,sweet
83,spicy
222,spicy
253,sweet
326,sweet
144,sweet
23,savory
349,savory
182,savory
84,spicy
162,spicy
303,savory
38,sweet
117,sweet
230,savory
214,savory
320,savory
87,savory
100,savory
227,sweet
70,savory
5,savory
76,savory
193,spicy
34,savory
337,savory
93,savory
333,sweet
335,sweet
231,savory
215,savory
302,spicy
115,savory
140,savory
145,spicy
116,savory
327,spicy
203,spicy
202,savory
290,savory
234,savory
352,spicy
350,sweet
131,spicy
149,spicy
189,savory
366,spicy
359,sweet
104,savory
339,savory
